X	Y
0.25	0.25
0.25	0.25
0.25	0.25
0.25	0.25
0.25	0.25
0.24928505441885143	0.25080817213086554
0.25	0.25
0.25	0.25
0.24928505441885143	0.25080817213086554
0.24647492250342107	0.25382658999561913
0.25	0.25
0.25	0.25
0.24928505441885143	0.25080817213086554
0.24647492250342107	0.25382658999561913
0.24393808020595847	0.25830375700407515
0.25	0.25
0.25	0.25
0.24928505441885143	0.25080817213086554
0.24647492250342107	0.25382658999561913
0.24393808020595847	0.25830375700407515
0.2408594903027512	0.26277968634172166
0.25	0.25
0.25	0.25
0.24928505441885143	0.25080817213086554
0.24647492250342107	0.25382658999561913
0.24393808020595847	0.25830375700407515
0.2408594903027512	0.26277968634172166
0.23723767489609868	0.26612633201511504
0.25	0.25
0.25	0.25
0.24928505441885143	0.25080817213086554
0.24647492250342107	0.25382658999561913
0.24393808020595847	0.25830375700407515
0.2408594903027512	0.26277968634172166
0.23723767489609868	0.26612633201511504
0.23468202749946962	0.2702242274793669
0.25	0.25
0.25	0.25
0.24928505441885143	0.25080817213086554
0.24647492250342107	0.25382658999561913
0.24393808020595847	0.25830375700407515
0.2408594903027512	0.26277968634172166
0.23723767489609868	0.26612633201511504
0.23468202749946962	0.2702242274793669
0.23111884890030368	0.2755489266896234
0.25	0.25
0.25	0.25
0.24928505441885143	0.25080817213086554
0.24647492250342107	0.25382658999561913
0.24393808020595847	0.25830375700407515
0.2408594903027512	0.26277968634172166
0.23723767489609868	0.26612633201511504
0.23468202749946962	0.2702242274793669
0.23111884890030368	0.2755489266896234
0.22861219290072227	0.2816243460962687
0.25	0.25
0.25	0.25
0.24928505441885143	0.25080817213086554
0.24647492250342107	0.25382658999561913
0.24393808020595847	0.25830375700407515
0.2408594903027512	0.26277968634172166
0.23723767489609868	0.26612633201511504
0.23468202749946962	0.2702242274793669
0.23111884890030368	0.2755489266896234
0.22861219290072227	0.2816243460962687
0.22689949859305247	0.2886159031762416
0.25	0.25
0.25	0.25
0.24928505441885143	0.25080817213086554
0.24647492250342107	0.25382658999561913
0.24393808020595847	0.25830375700407515
0.2408594903027512	0.26277968634172166
0.23723767489609868	0.26612633201511504
0.23468202749946962	0.2702242274793669
0.23111884890030368	0.2755489266896234
0.22861219290072227	0.2816243460962687
0.22689949859305247	0.2886159031762416
0.22496693866492823	0.2954791540143202
0.25	0.25
0.25	0.25
0.24928505441885143	0.25080817213086554
